"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-54","ieu-b-40","body mass index || id:ieu-b-40","Advanced glycosylation end product-specific receptor, soluble || id:prot-a-54","Weighted mode",3,0.0351057393055625,0.00906622760365799,0.0606875182799921,"prot-a-54","Advanced glycosylation end product-specific receptor, soluble"
"prot-a-575","ieu-b-40","body mass index || id:ieu-b-40","C-type lectin domain family 2 member L || id:prot-a-575","Wald ratio",1,0.0673822301729279,0.0101371496720334,2.99007556086265e-11,"prot-a-575","C-type lectin domain family 2 member L"
"prot-a-417","ieu-b-40","body mass index || id:ieu-b-40","Cell cycle progression protein 1 || id:prot-a-417","Wald ratio",1,-0.0265861027190332,0.0102719033232628,0.00964690599063413,"prot-a-417","Cell cycle progression protein 1"
"prot-a-539","ieu-b-40","body mass index || id:ieu-b-40","Secretogranin-1 || id:prot-a-539","Wald ratio",1,-0.0038560411311054,0.012853470437018,0.764177155622095,"prot-a-539","Secretogranin-1"
"prot-a-648","ieu-b-40","body mass index || id:ieu-b-40","Probable carboxypeptidase X1 || id:prot-a-648","Wald ratio",1,0.0311153662039253,0.00861656294877932,0.000304887997471077,"prot-a-648","Probable carboxypeptidase X1"
"prot-a-416","ieu-b-40","body mass index || id:ieu-b-40","Cyclin-H || id:prot-a-416","Wald ratio",1,-0.0326906957250629,0.00880134115674769,0.000203778459561511,"prot-a-416","Cyclin-H"
"prot-a-485","ieu-b-40","body mass index || id:ieu-b-40","Cadherin-5 || id:prot-a-485","Inverse variance weighted",2,-0.00343080087905386,0.0026906806668009,0.202285166302708,"prot-a-485","Cadherin-5"
"prot-a-762","ieu-b-40","body mass index || id:ieu-b-40","Dystroglycan || id:prot-a-762","Wald ratio",1,-0.0132148553201185,0.012531328320802,0.291633261467857,"prot-a-762","Dystroglycan"
"prot-a-773","ieu-b-40","body mass index || id:ieu-b-40","DCN1-like protein 3 || id:prot-a-773","Wald ratio",1,0.0517492711370262,0.0123906705539359,2.96067003574297e-05,"prot-a-773","DCN1-like protein 3"
"prot-a-409","ieu-b-40","body mass index || id:ieu-b-40","C-C motif chemokine 5 || id:prot-a-409","Inverse variance weighted",2,-0.023833275655141,0.0547518523081149,0.663347410946275,"prot-a-409","C-C motif chemokine 5"
"prot-a-7","ieu-b-40","body mass index || id:ieu-b-40","Tyrosine-protein kinase ABL1 || id:prot-a-7","Wald ratio",1,0.018962632459565,0.0133853876185165,0.156580407089635,"prot-a-7","Tyrosine-protein kinase ABL1"
"prot-a-43","ieu-b-40","body mass index || id:ieu-b-40","Adhesion G-protein coupled receptor F1 || id:prot-a-43","Wald ratio",1,0.0092512908777969,0.00387263339070568,0.0168994124245017,"prot-a-43","Adhesion G-protein coupled receptor F1"
"prot-a-444","ieu-b-40","body mass index || id:ieu-b-40","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 || id:prot-a-444","Wald ratio",1,0.0304748405386251,0.0127569099929128,0.0168994124245017,"prot-a-444","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1"
