"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-2139","R12_amyloidosis","R12_E4_AMYLNAS","Odorant-binding protein 2b || id:prot-a-2139","Weighted mode",3,0.136347086476144,0.162729899591927,0.490278152753654,"prot-a-2139","Odorant-binding protein 2b"
"prot-a-2114","R12_amyloidosis","R12_E4_AMYLNAS","Neurotrophin-3 || id:prot-a-2114","Wald ratio",1,-0.3079449081803,0.31224307178631,0.324018024307556,"prot-a-2114","Neurotrophin-3"
"prot-a-2192","R12_amyloidosis","R12_E4_AMYLNAS","Pterin-4-alpha-carbinolamine dehydratase 2 || id:prot-a-2192","Wald ratio",1,-0.702246256239601,0.393881863560732,0.0746049468076555,"prot-a-2192","Pterin-4-alpha-carbinolamine dehydratase 2"
"prot-a-2145","R12_amyloidosis","R12_E4_AMYLNAS","Olfactomedin-like protein 3 || id:prot-a-2145","Wald ratio",1,0.622024677509815,0.428166012338755,0.146288960490639,"prot-a-2145","Olfactomedin-like protein 3"
"prot-a-2040","R12_amyloidosis","R12_E4_AMYLNAS","Nuclear factor erythroid 2-related factor 1 || id:prot-a-2040","Wald ratio",1,-0.403415873015873,0.243585079365079,0.0976894146696292,"prot-a-2040","Nuclear factor erythroid 2-related factor 1"
"prot-a-2346","R12_amyloidosis","R12_E4_AMYLNAS","Protein phosphatase 1L || id:prot-a-2346","Inverse variance weighted",2,0.013807300531025,0.372464644046725,0.970429114669815,"prot-a-2346","Protein phosphatase 1L"
"prot-a-2030","R12_amyloidosis","R12_E4_AMYLNAS","Protein kinase C-binding protein NELL1 || id:prot-a-2030","MR Egger",3,0.0393825796843534,0.163052739260641,0.849125082554738,"prot-a-2030","Protein kinase C-binding protein NELL1"
"prot-a-2030","R12_amyloidosis","R12_E4_AMYLNAS","Protein kinase C-binding protein NELL1 || id:prot-a-2030","Weighted median",3,0.0996437344290642,0.112674498433327,0.376507105121257,"prot-a-2030","Protein kinase C-binding protein NELL1"
"prot-a-2030","R12_amyloidosis","R12_E4_AMYLNAS","Protein kinase C-binding protein NELL1 || id:prot-a-2030","Inverse variance weighted",3,0.116701557457903,0.110626099737247,0.291462442267294,"prot-a-2030","Protein kinase C-binding protein NELL1"
"prot-a-2030","R12_amyloidosis","R12_E4_AMYLNAS","Protein kinase C-binding protein NELL1 || id:prot-a-2030","Simple mode",3,0.148008753863509,0.173159917817612,0.482737570333479,"prot-a-2030","Protein kinase C-binding protein NELL1"
"prot-a-2030","R12_amyloidosis","R12_E4_AMYLNAS","Protein kinase C-binding protein NELL1 || id:prot-a-2030","Weighted mode",3,0.0819311775746684,0.247733436666294,0.772287230592736,"prot-a-2030","Protein kinase C-binding protein NELL1"
"prot-a-209","R12_amyloidosis","R12_E4_AMYLNAS","Beta-1,3-galactosyltransferase 6 || id:prot-a-209","Wald ratio",1,0.211370301910043,0.372369069624153,0.570281769146187,"prot-a-209","Beta-1,3-galactosyltransferase 6"
"prot-a-22","R12_amyloidosis","R12_E4_AMYLNAS","Activin receptor type-1B || id:prot-a-22","Wald ratio",1,0.598219868885527,0.384192133131619,0.11945026801455,"prot-a-22","Activin receptor type-1B"
"prot-a-2061","R12_amyloidosis","R12_E4_AMYLNAS","Normal mucosa of esophagus-specific gene 1 protein || id:prot-a-2061","MR Egger",3,0.188399161233758,0.640168882992495,0.817789480395724,"prot-a-2061","Normal mucosa of esophagus-specific gene 1 protein"
"prot-a-2061","R12_amyloidosis","R12_E4_AMYLNAS","Normal mucosa of esophagus-specific gene 1 protein || id:prot-a-2061","Weighted median",3,-0.194689921431671,0.152844652300323,0.202742647003068,"prot-a-2061","Normal mucosa of esophagus-specific gene 1 protein"
"prot-a-2061","R12_amyloidosis","R12_E4_AMYLNAS","Normal mucosa of esophagus-specific gene 1 protein || id:prot-a-2061","Inverse variance weighted",3,-0.233709032465952,0.142900937547034,0.1019522647029,"prot-a-2061","Normal mucosa of esophagus-specific gene 1 protein"
